file,manner,path,agent,itemset,Sentence 1,Sentence 2,Sentence 3,Sentence 4,Intended Sentence
none_control3_1.mp4,none,control3,1,Y,The blue right triangle scoots forward.,It stops under the middle of the bridge.,The triangle passes in front of the bridge.,,
none_control3_2.mp4,none,control3,2,Y,,,,,
none_control3_3.mp4,none,control3,3,Y,,,,,
none_control3_8.mp4,none,control3,8,Y,,,,,
none_control4_1.mp4,none,control4,1,Y,,,,,
none_control4_2.mp4,none,control4,2,Y,,,,,
none_control4_3.mp4,none,control4,3,Y,,,,,
none_control4_8.mp4,none,control4,8,Y,The grey triangle scoots forward.,It passes in front of the bridge.,The grey triangle stops at the other end of the bridge.,The bridge is brown.,
none_control5_4.mp4,none,control5,4,Z,,,,,
none_control5_5.mp4,none,control5,5,Z,,,,,
none_control5_6.mp4,none,control5,6,Z,,,,,
none_control5_7.mp4,none,control5,7,Z,,,,,
none_control6_4.mp4,none,control6,4,Z,,,,,
none_control6_5.mp4,none,control6,5,Z,,,,,
none_control6_6.mp4,none,control6,6,Z,,,,,
none_control6_7.mp4,none,control6,7,Z,The yellow triangle hops forward.,The triangle passes in front of the bridge.,The triangle stops at the end of the bridge.,,
none_control7_4.mp4,none,control7,4,Z,,,,,
none_control7_5.mp4,none,control7,5,Z,,,,,
none_control7_6.mp4,none,control7,6,Z,,,,,
none_control7_7.mp4,none,control7,7,Z,,,,,
none_control8_4.mp4,none,control8,4,Z,,,,,
none_control8_5.mp4,none,control8,5,Z,,,,,
none_control8_6.mp4,none,control8,6,Z,,,,,
none_control8_7.mp4,none,control8,7,Z,,,,,
